Gene ID,BSF iBAQ,BSF rank
Tb927.1.2340,10.687267,1
Tb927.1.2360,10.687267,2
Tb927.1.2380,10.687267,3
Tb927.1.2400,10.687267,4
Tb11.v5.0469,10.671308,5
Tb927.1.2330,10.671308,6
Tb927.1.2350,10.671308,7
Tb927.1.2370,10.671308,8
Tb927.1.2390,10.671308,9
Tb927.1.2410,10.671308,10
Tb11.v5.0531,10.581421,11
Tb927.10.5620,10.581421,12
Tb927.6.4280,10.435408,13
Tb927.6.4300,10.435408,14
Tb11.v5.1046,10.36424,15
Tb927.10.2090,10.36424,16
Tb927.10.2100,10.36424,17
Tb927.10.2110,10.36424,18
Tb11.v5.0650,10.332365,19
Tb927.10.2890,10.332365,20
Tb11.v5.1034,10.307207,21
Tb11.v5.1035,10.307207,22
Tb927.11.11330,10.307207,23
Tb927.9.12570,10.294249,24
Tb927.9.12590,10.294249,25
Tb927.9.12610,10.294249,26
Tb927.9.12630,10.294249,27
Tb927.10.2020,10.266406,28
Tb11.v5.0543,10.198401,29
Tb927.10.10890,10.198401,30
Tb927.10.10900,10.198401,31
Tb927.10.10910,10.198401,32
Tb927.10.10920,10.198401,33
Tb927.10.10930,10.198401,34
Tb927.10.10940,10.198401,35
Tb927.10.10950,10.198401,36
Tb927.10.10960,10.198401,37
Tb927.10.10970,10.198401,38
Tb927.10.10980,10.198401,39
Tb927.3.3270,10.183783,40
Tb927.11.7460,10.123728,41
Tb927.11.7510,10.123728,42
Tb11.v5.0605,10.107481,43
Tb927.10.14140,10.107481,44
Tb927.10.4560,10.09975,45
Tb927.10.4570,10.09975,46
Tb927.10.6400,10.069903,47
Tb927.10.6510,10.069903,48
Tb11.v5.1055,10.026059,49
Tb927.3.4290,10.026059,50
Tb927.3.4300,10.026059,51
Tb927.3.4310,10.026059,52
Tb927.3.4320,10.026059,53
Tb927.3.4330,10.026059,54
Tb11.v5.0538,9.99819,55
Tb927.8.4970,9.99819,56
Tb927.8.4980,9.99819,57
Tb927.8.4990,9.99819,58
Tb927.8.5000,9.99819,59
Tb927.8.5010,9.99819,60
