,Gene ID,Abundance_BSF_pro
0,Tb04.24M18.150,5.870638
1,Tb04.3I12.100,
2,Tb05.30F7.410,
3,Tb05.5K5.10,7.606765299999999
4,Tb05.5K5.100,6.75857
5,Tb05.5K5.110,8.722038000000001
6,Tb05.5K5.120,7.541455
7,Tb05.5K5.130,8.725412
8,Tb05.5K5.140,
9,Tb05.5K5.150,8.757899
10,Tb05.5K5.160,7.543854
11,Tb05.5K5.170,
12,Tb05.5K5.180,
13,Tb05.5K5.190,
14,Tb05.5K5.20,6.1671886
15,Tb05.5K5.200,8.635239
16,Tb05.5K5.210,8.097232
17,Tb05.5K5.220,6.1383657
18,Tb05.5K5.230,
19,Tb05.5K5.240,6.037917
20,Tb05.5K5.250,
21,Tb05.5K5.260,
22,Tb05.5K5.270,
23,Tb05.5K5.280,
24,Tb05.5K5.290,
25,Tb05.5K5.30,8.757756
26,Tb05.5K5.300,
27,Tb05.5K5.310,
28,Tb05.5K5.320,
29,Tb05.5K5.330,
30,Tb05.5K5.340,
31,Tb05.5K5.350,
32,Tb05.5K5.360,
33,Tb05.5K5.370,
34,Tb05.5K5.380,
35,Tb05.5K5.390,
36,Tb05.5K5.40,8.369469
37,Tb05.5K5.400,
38,Tb05.5K5.410,
39,Tb05.5K5.420,8.197429
40,Tb05.5K5.430,
41,Tb05.5K5.440,
42,Tb05.5K5.450,
43,Tb05.5K5.460,
44,Tb05.5K5.470,
45,Tb05.5K5.480,
46,Tb05.5K5.490,
47,Tb05.5K5.50,7.690688000000001
48,Tb05.5K5.500,
49,Tb05.5K5.510,
50,Tb05.5K5.520,
51,Tb05.5K5.530,
52,Tb05.5K5.540,
53,Tb05.5K5.60,7.055932
54,Tb05.5K5.70,8.571710000000001
55,Tb05.5K5.80,6.810037599999999
56,Tb05.5K5.90,7.6239076
57,Tb06.3A7.270,
58,Tb06.3A7.960,7.355485000000001
59,Tb07.11L3.100,6.78683
60,Tb07.11L3.90,7.568649000000001
61,Tb07.30D13.110,
62,Tb07.30D13.130,
63,Tb07.30D13.160,
64,Tb07.30D13.180,
65,Tb07.30D13.60,
66,Tb07.30D13.80,
67,Tb08.27P2.110,
68,Tb08.27P2.120,
69,Tb08.27P2.140,
70,Tb08.27P2.150,
71,Tb08.27P2.160,8.375331
72,Tb08.27P2.165,
73,Tb08.27P2.190,
74,Tb08.27P2.210,
75,Tb08.27P2.220,
76,Tb08.27P2.230,
77,Tb08.27P2.240,
78,Tb08.27P2.250,6.3327813
79,Tb08.27P2.260,
80,Tb08.27P2.270,
81,Tb08.27P2.290,
82,Tb08.27P2.310,
83,Tb08.27P2.330,
84,Tb08.27P2.340,
85,Tb08.27P2.370,
86,Tb08.27P2.380,
87,Tb08.27P2.390,
88,Tb08.27P2.400,8.044533
89,Tb08.27P2.410,
90,Tb08.27P2.435,
91,Tb08.27P2.460,
92,Tb08.27P2.480,
93,Tb08.27P2.490,
94,Tb08.27P2.50,
95,Tb08.27P2.510,
96,Tb08.27P2.520,8.375331
97,Tb08.27P2.530,
98,Tb08.27P2.550,
99,Tb08.27P2.555,
100,Tb08.27P2.565,
101,Tb08.27P2.580,
102,Tb08.27P2.60,
103,Tb08.27P2.610,
104,Tb08.27P2.620,
105,Tb08.27P2.630,
106,Tb08.27P2.640,
107,Tb08.27P2.650,
108,Tb08.27P2.660,
109,Tb08.27P2.670,
110,Tb08.27P2.680,
111,Tb08.27P2.690,
112,Tb08.27P2.70,
113,Tb08.27P2.710,
114,Tb08.27P2.720,
115,Tb08.27P2.80,
116,Tb08.27P2.90,
117,Tb09.v4.0009,6.0063615
118,Tb09.v4.0010,6.214379
119,Tb09.v4.0011,
120,Tb09.v4.0012,
121,Tb09.v4.0013,
122,Tb09.v4.0014,6.9804645
123,Tb09.v4.0015,7.749778699999999
124,Tb09.v4.0016,7.7722683
125,Tb09.v4.0017,6.794662
126,Tb09.v4.0018,
127,Tb09.v4.0020,
128,Tb09.v4.0021,
129,Tb09.v4.0022,
130,Tb09.v4.0023,
131,Tb09.v4.0024,
132,Tb09.v4.0025,
133,Tb09.v4.0026,
134,Tb09.v4.0027,
135,Tb09.v4.0028,
136,Tb09.v4.0029,
137,Tb09.v4.0030,
138,Tb09.v4.0031,
139,Tb09.v4.0032,
140,Tb09.v4.0033,8.197429
141,Tb09.v4.0034,
142,Tb09.v4.0035,
143,Tb09.v4.0036,
144,Tb09.v4.0037,
145,Tb09.v4.0038,
146,Tb09.v4.0039,
147,Tb09.v4.0040,
148,Tb09.v4.0041,
149,Tb09.v4.0042,5.9327326
150,Tb09.v4.0043,
151,Tb09.v4.0044,
152,Tb09.v4.0045,
153,Tb09.v4.0046,
154,Tb09.v4.0047,
155,Tb09.v4.0048,
156,Tb09.v4.0049,
157,Tb09.v4.0050,
158,Tb09.v4.0051,
159,Tb09.v4.0052,
160,Tb09.v4.0053,
161,Tb09.v4.0054,
162,Tb09.v4.0055,
163,Tb09.v4.0056,
164,Tb09.v4.0057,
165,Tb09.v4.0058,
166,Tb09.v4.0059,
167,Tb09.v4.0060,
168,Tb09.v4.0061,
169,Tb09.v4.0062,
170,Tb09.v4.0063,
171,Tb09.v4.0064,
172,Tb09.v4.0065,6.6864686
173,Tb09.v4.0066,
174,Tb09.v4.0067,7.703433500000001
175,Tb09.v4.0068,
176,Tb09.v4.0069,
177,Tb09.v4.0070,
178,Tb09.v4.0071,
179,Tb09.v4.0072,
180,Tb09.v4.0073,
181,Tb09.v4.0074,
182,Tb09.v4.0075,
183,Tb09.v4.0076,
184,Tb09.v4.0077,
185,Tb09.v4.0078,
186,Tb09.v4.0079,
187,Tb09.v4.0080,
188,Tb09.v4.0081,
189,Tb09.v4.0082,
190,Tb09.v4.0083,
191,Tb09.v4.0084,
