,id,rank,FDR,sign,log_FDR,log_rank,srank,desc
cgd6_2090-RA-p1,1,380.64799700000003,0.0,+,4.045757490560675,2.580523548843278,380.64799700000003,Growth factor receptor cysteine-rich domain containing protein
cgd1_750-RA-p1,2,322.70128700000004,0.0,-,4.045757490560675,2.508800697464282,-322.70128700000004,Dynein heavy chain
cgd6_200-RA-p1,3,232.45554199999998,0.0,+,4.045757490560675,2.3663399047085116,232.45554199999998,Oocyst wall protein 8
cgd3_190-RA-p1,4,168.445458,0.0,+,4.045757490560675,2.2264593050640613,168.445458,Fibrillin/EGF-like calcium-binding conserved site-containing protein
cgd8_1270-RA-p1,5,158.002033,0.0,-,4.045757490560675,2.198662675024052,-158.002033,Clathrin heavy chain
cgd7_2620-RA-p1,6,150.820193,0.0,-,4.045757490560675,2.178459492205956,-150.820193,ClpB Atpase/signal peptide containing protein
cgd7_4340-RA-p1,7,145.044906,0.0,-,4.045757490560675,2.161502480915736,-145.044906,Uncharacterized Secreted Protein
cgd2_490-RA-p1,8,143.871484,0.0,+,4.045757490560675,2.157974723271685,143.871484,Uncharacterized protein
cgd8_2650-RA-p1,9,130.575961,0.0,-,4.045757490560675,2.1158632307982237,-130.575961,Uncharacterized protein with Armadillo-type fold
cgd7_400-RA-p1,10,110.76954199999999,0.001,+,2.962573502059376,2.0444203600335555,110.76954199999999,Uncharacterized protein
cgd7_860-RA-p1,11,97.21826,0.001,-,2.962573502059376,1.9877478438609166,-97.21826,Armadillo-like helical protein
cgd3_1580-RA-p1,12,93.308663,0.0016699999999999998,-,2.75448733218585,1.9699219665593741,-93.308663,Alpha glucosidase-like faimly 31 glycosyl hydrolases
cgd5_3073-RA-p1,13,86.00179399999999,0.0016699999999999998,+,2.75448733218585,1.9345075107339653,86.00179399999999,Carboxylic ester hydrolase
cgd5_1440-RA-p1,14,85.548777,0.0016699999999999998,-,2.75448733218585,1.9322138052745716,-85.548777,Uncharacterized Secreted Protein (CpLSP gene family)
cgd8_2530-RA-p1,15,83.743994,0.0016699999999999998,+,2.75448733218585,1.922953669843922,83.743994,Sushi/SCR/CCP domain containing protein
cgd8_1930-RA-p1,16,78.429108,0.0025,-,2.586700235918748,1.8944772756644217,-78.429108,CLASP-N/GCN1 domain containg protein
cgd6_1450-RA-p1,17,70.832697,0.00294,+,2.518557371497695,1.8502337781518916,70.832697,Polysaccharide pyruvyl transferase with Fringe-like domain
cgd3_1220-RA-p1,18,68.258764,0.0033299999999999996,+,2.465973893943865,1.8341584199982959,68.258764,Hyaluronan/mRNA-binding protein
cgd1_800-RA-p1,19,65.087598,0.0036799999999999997,+,2.4236586497942074,1.8134982445854533,65.087598,Protein disulfide isomerase
cgd3_660-RA-p1,20,61.476485,0.0045,+,2.338187314462739,1.788709028171491,61.476485,Uncharacterized protein
