Gene ID,BSF Intensity,BSF rank,Desc
Tb427.BES40.22,11.168922,1,VSG221
Tb927.1.2340,10.687267,2,alpha tubulin
Tb927.1.2360,10.687267,3,alpha tubulin
Tb927.1.2380,10.687267,4,alpha tubulin
Tb927.1.2400,10.687267,5,alpha tubulin
Tb11.v5.0469,10.671308,6,"beta tubulin, putative"
Tb927.1.2330,10.671308,7,beta tubulin
Tb927.1.2350,10.671308,8,beta tubulin
Tb927.1.2370,10.671308,9,beta tubulin
Tb927.1.2390,10.671308,10,beta tubulin
Tb927.1.2410,10.671308,11,"beta tubulin, pseudogene"
Tb11.v5.0531,10.581421,12,"fructose-bisphosphate aldolase, glycosomal, putative"
Tb927.10.5620,10.581421,13,"fructose-bisphosphate aldolase, glycosomal"
Tb927.6.4280,10.435408,14,"glyceraldehyde 3-phosphate dehydrogenase, glycosomal"
Tb927.6.4300,10.435408,15,"glyceraldehyde 3-phosphate dehydrogenase, glycosomal"
Tb11.v5.1046,10.36424,16,"elongation factor 1-alpha, putative"
Tb927.10.2090,10.36424,17,elongation factor 1-alpha
Tb927.10.2100,10.36424,18,elongation factor 1-alpha
Tb927.10.2110,10.36424,19,elongation factor 1-alpha
Tb11.v5.0650,10.332365,20,"enolase, putative"
Tb927.10.2890,10.332365,21,enolase
Tb11.v5.1034,10.307207,22,"heat shock protein 70 (hsp70), putative"
Tb11.v5.1035,10.307207,23,"heat shock protein 70 (hsp70), putative"
Tb927.11.11330,10.307207,24,heat shock protein 70
Tb927.9.12570,10.294249,25,"glycerol kinase, glycosomal"
Tb927.9.12590,10.294249,26,"glycerol kinase, glycosomal"
Tb927.9.12610,10.294249,27,"glycerol kinase, glycosomal"
Tb927.9.12630,10.294249,28,"glycerol kinase, glycosomal"
Tb927.10.2020,10.266406,29,hexokinase
Tb11.v5.0543,10.198401,30,"Heat shock protein 83, putative"
Tb927.10.10890,10.198401,31,"heat shock protein, putative"
Tb927.10.10900,10.198401,32,"heat shock protein, putative"
Tb927.10.10910,10.198401,33,"heat shock protein, putative"
Tb927.10.10920,10.198401,34,"heat shock protein, putative"
Tb927.10.10930,10.198401,35,"heat shock protein, putative"
Tb927.10.10940,10.198401,36,"heat shock protein, putative"
Tb927.10.10950,10.198401,37,"heat shock protein, putative"
Tb927.10.10960,10.198401,38,"heat shock protein, putative"
Tb927.10.10970,10.198401,39,"heat shock protein, putative"
Tb927.10.10980,10.198401,40,"heat shock protein 90, putative"
Tb927.3.3270,10.183783,41,"ATP-dependent 6-phosphofructokinase, glycosomal"
Tb927.11.7460,10.123728,42,"luminal binding protein 1 (BiP), putative"
Tb927.11.7510,10.123728,43,"luminal binding protein 1 (BiP), putative"
Tb11.v5.0605,10.107481,44,"pyruvate kinase 1, putative"
Tb927.10.14140,10.107481,45,pyruvate kinase 1
Tb927.10.4560,10.09975,46,elongation factor 2
Tb927.10.4570,10.09975,47,elongation factor 2
Tb927.10.6400,10.069903,48,"chaperonin HSP60, mitochondrial precursor"
Tb927.10.6510,10.069903,49,"chaperonin HSP60, mitochondrial precursor"
Tb11.v5.1055,10.026059,50,"73 kDa paraflagellar rod protein, putative"
Tb927.3.4290,10.026059,51,Paraflagellar rod protein 1-1
Tb927.3.4300,10.026059,52,Paraflagellar rod protein 1-2
Tb927.3.4310,10.026059,53,Paraflagellar rod protein 1-3
Tb927.3.4320,10.026059,54,Paraflagellar rod protein 1-4
Tb927.3.4330,10.026059,55,Paraflagellar rod protein 1-5
Tb11.v5.0538,9.99819,56,"69 kDa paraflagellar rod protein, putative"
Tb927.8.4970,9.99819,57,Paraflagellar rod protein 2-1
Tb927.8.4980,9.99819,58,Paraflagellar rod protein 2-2
Tb927.8.4990,9.99819,59,Paraflagellar rod protein 2-3
Tb927.8.5000,9.99819,60,Paraflagellar rod protein 2-4
Tb927.8.5010,9.99819,61,Paraflagellar rod protein 2-5
Tb927.8.3530,9.987472,62,"glycerol-3-phosphate dehydrogenase [NAD+], glycosomal"
Tb10.v4.0052,9.867884,63,microtubule-associated protein 2
Tb927.1.700,9.857278,64,phosphoglycerate kinase
Tb11.v5.0197,9.848828,65,"clathrin heavy chain, putative"
Tb11.v5.0198,9.848828,66,"clathrin heavy chain, putative"
Tb927.10.6050,9.848828,67,clathrin heavy chain
Tb927.11.13020,9.836965,68,calmodulin
Tb927.11.13030,9.836965,69,calmodulin
Tb927.11.13040,9.836965,70,calmodulin
Tb927.11.13050,9.836965,71,calmodulin
Tb11.v5.0636,9.821328,72,"C-terminal motor kinesin, putative"
Tb927.10.14890,9.821328,73,"C-terminal motor kinesin, putative"
Tb927.9.13785,9.807148,74,kinetoplastid membrane protein 11-5
Tb927.9.13795,9.807148,75,kinetoplastid membrane protein 11-4
Tb927.9.13820,9.807148,76,kinetoplastid membrane protein 11-3
Tb927.9.13860,9.807148,77,kinetoplastid membrane protein 11-2
Tb927.9.13920,9.807148,78,kinetoplastid membrane protein 11-1
Tb927.5.4170,9.804543,79,"histone H4, putative"
Tb927.5.4180,9.804543,80,"histone H4, putative"
Tb927.5.4190,9.804543,81,"histone H4, putative"
Tb927.5.4200,9.804543,82,"histone H4, putative"
Tb927.5.4210,9.804543,83,"histone H4, putative"
Tb927.5.4220,9.804543,84,"histone H4, putative"
Tb927.5.4230,9.804543,85,"histone H4, putative"
Tb927.5.4240,9.804543,86,"histone H4, putative"
Tb927.5.4250,9.804543,87,"histone H4, putative"
Tb927.5.4260,9.804543,88,"histone H4, putative"
Tb927.10.10445,9.792353,89,"Core histone H2A/H2B/H3/H4, putative"
Tb927.10.10460,9.792353,90,"histone H2B, putative"
Tb927.10.10470,9.792353,91,"histone H2B, putative"
Tb927.10.10480,9.792353,92,"histone H2B, putative"
Tb927.10.10490,9.792353,93,"histone H2B, putative"
Tb927.10.10500,9.792353,94,"histone H2B, putative"
Tb927.10.10510,9.792353,95,"histone H2B, putative"
Tb927.10.10520,9.792353,96,"histone H2B, putative"
Tb927.10.10530,9.792353,97,"histone H2B, putative"
Tb927.10.10540,9.792353,98,"histone H2B, putative"
Tb927.10.10550,9.792353,99,"histone H2B, putative"
Tb927.10.10560,9.792353,100,"histone H2B, putative"
Tb927.10.10570,9.792353,101,"histone H2B, putative"
Tb927.10.10580,9.792353,102,"histone H2B, putative"
Tb927.10.10590,9.792353,103,"histone H2B, putative"
Tb927.10.8940,9.778563,104,"flagellum targeting protein kharon1, putative"
Tb927.9.6250,9.761956,105,arginine kinase
Tb927.6.3740,9.754516,106,"heat shock 70 kDa protein, mitochondrial precursor, putative"
Tb927.6.3750,9.754516,107,"heat shock 70 kDa protein, mitochondrial precursor, putative"
Tb927.6.3800,9.754516,108,"heat shock 70 kDa protein, mitochondrial precursor, putative"
Tb11.v5.0668,9.712541,109,protein disulfide isomerase
Tb927.10.8230,9.712541,110,protein disulfide isomerase 2
Tb927.4.5010,9.706833,111,"calreticulin, putative"
