Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)	
Cgd2_2990	Cgd2_2990-RA	CM000430:621,617..622,330(-)	60S ribosomal protein L13	1	11	11	
cgd1_1230	cgd1_1230-RA	CM000429:295,298..298,495(-)	Signal peptide region containing protein	1	1	1	
cgd1_1280	cgd1_1280-RA	CM000429:311,537..312,919(+)	K-homology type RNA binding proteins	1	3	3	
cgd1_1290	cgd1_1290-RA	CM000429:313,071..313,871(+)	Apicomplexa specific secreted protein Pf (23508265)	1	3	3	
cgd1_1510	cgd1_1510-RA	CM000429:354,224..355,057(-)	Signal peptide region containing protein	1	9	9	
cgd1_1530	cgd1_1530-RA	CM000429:364,748..366,427(-)	Rpn5 like 26S proteasomal regulatory subunit 12 with PCI domain	1	4	4	
cgd1_1640	cgd1_1640-RA	CM000429:384,278..393,271(+)	PHD-finger/AT hook containing chromatin protein	1	1	1	
cgd1_1870	cgd1_1870-RA	CM000429:432,994..434,454(+)	Uncharacterized protein	1	1	1	
cgd1_1890	cgd1_1890-RA	CM000429:435,507..436,240(+)	Longin domain-containing Synaptobrevin	1	2	2	
cgd1_1970	cgd1_1970-RA	CM000429:456,945..457,853(-)	Golgi apparatus membrane protein TVP15	1	3	3	
cgd1_2040	cgd1_2040-RA	CM000429:468,380..469,978(-)	Pyruvate kinase	1	10	10	
cgd1_2220	cgd1_2220-RA	CM000429:502,406..503,047(+)	Uncharacterized protein	1	1	1	
cgd1_2270	cgd1_2270-RA	CM000429:507,293..507,616(-)	40S ribosomal protein S26	1	1	1	
cgd1_230	cgd1_230-RA	CM000429:58,180..59,604(+)	Glycosyl transferase, family 1	1	1	1	
cgd1_2470	cgd1_2470-RA	CM000429:544,192..545,142(-)	Serine/threonine-protein phosphatase 2A activator	1	1	1	
cgd1_2490	cgd1_2490-RA	CM000429:546,852..547,902(+)	Proteasome subunit beta type	1	2	2	
cgd1_2760	cgd1_2760-RA	CM000429:603,771..604,967(-)	Ribosome-binding ATPase YchF/Obg-like ATPase 1	1	5	5	
cgd1_280	cgd1_280-RA	CM000429:65,365..66,468(-)	Short-chain dehydrogenase/reductase SDR	1	8	8	
cgd1_3000	cgd1_3000-RA	CM000429:648,187..648,675(+)	60S ribosomal protein L27	1	4	4	
cgd1_3010	cgd1_3010-RA	CM000429:649,237..650,091(+)	ER lumen protein retaining receptor 1 KDEL recpetor 1	1	3	3	
cgd1_3020	cgd1_3020-RA	CM000429:650,743..651,852(+)	Fructose-bisphosphate aldolase	1	12	12	
cgd1_3040	cgd1_3040-RA	CM000429:656,413..657,165(-)	Triosephosphate isomerase	1	3	3	
cgd1_3140	cgd1_3140-RA	CM000429:685,948..686,565(+)	Adenylate kinase/UMP-CMP kinase	1	2	2	
cgd1_330	cgd1_330-RA	CM000429:72,883..75,530(-)	CDC48 like AAA ATPase	1	7	7	
cgd1_3480	cgd1_3480-RA	CM000429:764,430..766,267(-)	Eukaryotic translation initiation factor 3 subunit M	1	1	1	
cgd1_3490	cgd1_3490-RA	CM000429:766,844..767,300(-)	Uncharacterized protein	1	1	1	
cgd1_3530	cgd1_3530-RA	CM000429:776,497..779,176(-)	RNA recognition motif domain containing protein	1	7	7	
cgd1_3570	cgd1_3570-RA	CM000429:793,113..794,372(-)	Myosin regulatory light chain	1	4	4	
cgd1_3690	cgd1_3690-RA	CM000429:824,333..827,410(-)	Aspartyl (Acid) protease	1	2	2	
cgd1_3710	cgd1_3710-RA	CM000429:830,164..832,251(-)	Acetyl-coenzyme A synthetase	1	5	5	
cgd1_3780	cgd1_3780-RA	CM000429:847,536..849,980(-)	Uncharacterized signal peptide-containing protein	1	2	2	
cgd1_3810	cgd1_3810-RA	CM000429:855,666..858,404(+)	Uncharacterized protein	1	11	11	
cgd1_430	cgd1_430-RA	CM000429:94,302..95,066(-)	emp24/gp25L/p24 family/GOLD domain containing protein	1	1	1	
cgd1_440	cgd1_440-RA	CM000429:95,287..96,227(+)	Signal peptidase I	1	3	3	
cgd1_570	cgd1_570-RA	CM000429:127,759..128,463(-)	Translocation protein Sec66	1	1	1	
cgd1_580	cgd1_580-RA	CM000429:129,783..132,723(-)	Dynamin-like protein	1	3	3	
cgd1_590	cgd1_590-RA	CM000429:133,646..141,229(-)	Uncharacterized protein	1	1	1	
cgd1_640	cgd1_640-RA	CM000429:147,624..153,926(-)	Signal peptide region containing protein	1	15	15	
cgd1_650	cgd1_650-RA	CM000429:153,238..157,059(-)	Uncharacterized Secreted Protein (CpLSP gene family)	1	1	1	
cgd1_750	cgd1_750-RA	CM000429:181,234..196,974(+)	Dynein heavy chain	1	4	4	
cgd1_780	cgd1_780-RA	CM000429:202,686..203,529(+)	Uncharacterized protein	1	1	1	
cgd1_800	cgd1_800-RA	CM000429:209,499..211,472(+)	Protein disulfide isomerase	1	2	2	
cgd1_820	cgd1_820-RA	CM000429:214,507..217,016(+)	Palmitoyltransferase	1	1	1	
cgd1_850	cgd1_850-RA	CM000429:222,968..223,432(+)	 40S ribosomal protein S19	1	3	3	
cgd1_870	cgd1_870-RA	CM000429:224,573..225,205(-)	Peptidyl-prolyl cis-trans isomerase	1	5	5	
cgd1_880	cgd1_880-RA	CM000429:226,056..227,273(+)	Eukaryotic initiation factor 4A	1	6	6	
cgd1_920	cgd1_920-RA	CM000429:235,349..237,064(+)	Actin	1	1	1	
cgd1_950	cgd1_950-RA	CM000429:240,448..241,893(+)	Uncharacterized protein with Ankyrin repeat	1	7	7	
cgd2_1020	cgd2_1020-RA	CM000430:231,451..232,743(+)	Proteasome regulatory subunit Rpn9	1	1	1	
cgd2_1030	cgd2_1030-RA	CM000430:233,048..233,992(-)	Mitochondrial carrier protein	1	1	1	
cgd2_1070	cgd2_1070-RA	CM000430:239,641..239,961(+)	40S ribosomal protein S25	1	1	1	
cgd2_1200	cgd2_1200-RA	CM000430:262,273..263,202(-)	Ubiquitin domain-containing Steroid reductase	1	1	1	
cgd2_1290	cgd2_1290-RA	CM000430:281,387..282,655(-)	Uncharacterized protein	1	1	1	
cgd2_130	cgd2_130-RA	CM000430:40,787..41,125(-)	60S acidic ribosomal protein LP2	1	2	2	
cgd2_1350	cgd2_1350-RA	CM000430:291,432..292,817(-)	26S proteasome subunit P45/AAA+ ATPase core domain containing protein	1	4	4	
cgd2_1370	cgd2_1370-RA	CM000430:295,049..297,682(+)	Uncharacterized protein with WD40 repeat	1	3	3	
cgd2_1500	cgd2_1500-RA	CM000430:321,029..322,651(+)	Eukaryotic translation initiation factor 3 subunit E withPCI domain domain	1	4	4	
cgd2_1640	cgd2_1640-RA	CM000430:343,728..346,094(-)	Serine/threonine-protein phosphatase	1	1	1	
cgd2_1650	cgd2_1650-RA	CM000430:346,989..348,395(-)	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit	1	1	1	
cgd2_170	cgd2_170-RA	CM000430:45,953..46,422(+)	40s ribosomal protein s24	1	5	5	
cgd2_1780	cgd2_1780-RA	CM000430:367,299..368,615(+)	PDI like thioredoxin domain containing protein	1	6	6	
cgd2_1800	cgd2_1800-RA	CM000430:372,784..374,098(-)	DnaJ domain containing protein	1	1	1	
cgd2_1850	cgd2_1850-RA	CM000430:380,099..381,079(-)	Stress-induced protein sti1-like protein with TPR repeat	1	1	1	
cgd2_1870	cgd2_1870-RA	CM000430:385,318..386,259(-)	Guanine nucleotide-binding protein	1	8	8	
cgd2_1900	cgd2_1900-RA	CM000430:389,071..390,078(-)	dTDP-glucose 4-6-dehydratase-like protein	1	4	4	
cgd2_1910	cgd2_1910-RA	CM000430:390,431..392,035(+)	MORN repeat	1	2	2	
cgd2_1940	cgd2_1940-RA	CM000430:397,247..397,953(+)	RAB6 protein	1	2	2	
cgd2_20	cgd2_20-RA	CM000430:3,136..5,184(+)	Heat shock 70 protein	1	13	13	
cgd2_200	cgd2_200-RA	CM000430:48,767..49,738(-)	Uncharacterized protein	1	1	1	
cgd2_2010	cgd2_2010-RA	CM000430:410,463..411,266(-)	EF-hand domain containing protein	1	1	1	
cgd2_2050	cgd2_2050-RA	CM000430:414,759..415,625(-)	Proteasome subunit alpha type	1	4	4	
cgd2_2070	cgd2_2070-RA	CM000430:418,308..419,885(-)	Translation elongation factor EF-1 subunit alpha	1	1	1	
cgd2_210	cgd2_210-RA	CM000430:49,924..51,664(-)	Glycerol-3-phosphate dehydrogenase [NAD(+)]	1	4	4	
cgd2_2100	cgd2_2100-RA	CM000430:424,580..425,267(-)	Uncharacterized protein	1	2	2	
cgd2_2110	cgd2_2110-RA	CM000430:425,589..426,155(-)	Uncharacterized protein	1	4	4	
cgd2_2120	cgd2_2120-RA	CM000430:426,567..426,863(+)	High mobility group box domain containing protein	1	1	1	
cgd2_2130	cgd2_2130-RA	CM000430:427,031..431,311(-)	ATP-dependent 6-phosphofructokinase	1	8	8	
cgd2_2210	cgd2_2210-RA	CM000430:445,694..446,905(-)	Proteasome regulatory subunit Rpn7/26S proteasome subunit 6	1	2	2	
cgd2_2340	cgd2_2340-RA	CM000430:469,371..474,329(-)	R1 like alpha-glucan water dikinase	1	3	3	
cgd2_2350	cgd2_2350-RA	CM000430:474,683..476,398(+)	MA3 domain containing protein	1	5	5	
