Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)	
cgd1_1250	cgd1_1250-RA	CM000429:301,025..308,356(+)	Uncharacterized Secreted Protein (CpLSP gene family)	1	1	1	
cgd1_1310	cgd1_1310-RA	CM000429:317,780..319,135(+)	Cleavage stimulation factor with RNA recognition motif domain	1	1	1	
cgd1_3020	cgd1_3020-RA	CM000429:650,743..651,852(+)	Fructose-bisphosphate aldolase	1	4	4	
cgd1_3530	cgd1_3530-RA	CM000429:776,497..779,176(-)	RNA recognition motif domain containing protein	1	1	1	
cgd1_3810	cgd1_3810-RA	CM000429:855,666..858,404(+)	Uncharacterized protein	1	1	1	
cgd1_640	cgd1_640-RA	CM000429:147,624..153,926(-)	Signal peptide region containing protein	1	3	3	
cgd1_790	cgd1_790-RA	CM000429:204,334..208,530(+)	Uncharacterized protein	1	1	1	
cgd2_20	cgd2_20-RA	CM000430:3,136..5,184(+)	Heat shock 70 protein	1	12	12	
cgd2_2510	cgd2_2510-RA	CM000430:501,969..504,263(-)	Glucose-methanol-choline oxidoreductase	1	2	2	
cgd2_2580	cgd2_2580-RA	CM000430:520,249..527,208(+)	Uncharacterized protein	1	1	1	
cgd2_3590	cgd2_3590-RA	CM000430:769,013..788,752(-)	Uncharacterized protein	1	1	1	
cgd2_3860	cgd2_3860-RA	CM000430:859,832..861,818(+)	BBOX Zinc finger domain containing protein	1	1	1	
cgd2_3950	cgd2_3950-RA	CM000430:887,434..888,406(+)	Translation elongation factor EF1B/ribosomal protein S6	1	2	2	
cgd2_3980	cgd2_3980-RA	CM000430:893,847..895,922(+)	Myb domain containing protein	1	1	1	
cgd2_4010	cgd2_4010-RA	CM000430:898,780..899,885(-)	MAL7P1.13-like protein	1	1	1	
cgd2_4120	cgd2_4120-RA	CM000430:926,202..926,720(+)	Peptidyl-prolyl cis-trans isomerase	1	1	1	
cgd2_4260	cgd2_4260-RA	CM000430:954,778..956,145(+)	40S ribosomal protein S6	1	1	1	
cgd2_790	cgd2_790-RA	CM000430:180,906..184,649(+)	LH2/LCCL/SRCR domain containing protein	1	3	3	
cgd2_850	cgd2_850-RA	CM000430:192,429..193,367(-)	Uncharacterized protein	1	2	2	
cgd3_1180	cgd3_1180-RA	CM000431:347,128..358,734(-)	E3 ubiquitin ligase	1	1	1	
cgd3_1290	cgd3_1290-RA	CM000431:372,355..373,958(-)	 14-3-3 domain containing protein	1	1	1	
cgd3_1400	cgd3_1400-RA	CM000431:397,691..401,674(+)	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	1	1	1	
cgd3_2180	cgd3_2180-RA	CM000431:569,407..594,138(+)	Type I fatty acid synthase	1	1	1	
cgd3_2200	cgd3_2200-RA	CM000431:595,554..596,309(-)	Proteasome subunit alpha type	1	1	1	
cgd3_2440	cgd3_2440-RA	CM000431:636,891..637,352(-)	Ribosomal protein S18A	1	1	1	
cgd3_2540	cgd3_2540-RA	CM000431:650,605..651,012(-)	Histone H3	1	2	2	
cgd3_2870	cgd3_2870-RA	CM000431:714,364..716,697(-)	 acyl-CoA synthetases	1	1	1	
cgd3_2960	cgd3_2960-RA	CM000431:732,982..741,057(-)	Uncharacterized protein	1	2	2	
cgd3_3200	cgd3_3200-RA	CM000431:799,471..800,739(-)	Deoxyribose-phosphate aldolase	1	2	2	
cgd3_3370	cgd3_3370-RA	CM000431:836,478..841,001(-)	Uncharacterized protein	1	4	4	
cgd3_3430	cgd3_3430-RA	CM000431:855,744..861,053(-)	Amine oxidase	1	1	1	
cgd3_3770	cgd3_3770-RA	CM000431:940,090..942,225(+)	 Hsp90	1	3	3	
cgd3_720	cgd3_720-RA	CM000431:218,067..253,157(+)	 mucin	1	1	1	
cgd4_1020	cgd4_1020-RA	CM000432:275,725..278,476(+)	Nucleolar pre-ribosomal-associated protein 1 C-terminal domain containing protein	1	1	1	
cgd4_140	cgd4_140-RA	CM000432:33,039..37,160(-)	Zinc finger, RING/FYVE/PHD-type domain containg protein	1	1	1	
cgd4_1690	cgd4_1690-RA	CM000432:422,712..427,415(-)	Myosin motor domain containing protein	1	1	1	
cgd4_2200	cgd4_2200-RA	CM000432:527,010..530,720(-)	RecF/RecN/SMC domain containing protein	1	1	1	
cgd4_2260	cgd4_2260-RA	CM000432:542,681..543,637(-)	 60S acidic ribosomal protein P0	1	1	1	
cgd4_3090	cgd4_3090-RA	CM000432:731,601..733,217(+)	Oocyst wall protein 6	1	2	2	
cgd4_3390	cgd4_3390-RA	CM000432:794,561..798,541(+)	Neutral sphingomyelinase activation associated factor-like BEACH domain containing protein	1	1	1	
cgd4_3530	cgd4_3530-RA	CM000432:844,538..850,791(-)	Uncharacterized protein	1	6	6	
cgd4_3610	cgd4_3610-RA	CM000432:872,852..874,600(+)	Uncharacterized protein	1	1	1	
cgd4_3620	cgd4_3620-RA	CM000432:875,199..875,815(-)	Immunodominant antigen 23393226	1	4	4	
cgd4_470	cgd4_470-RA	CM000432:117,882..118,673(-)	60S ribosomal protein L18	1	2	2	
cgd4_480	cgd4_480-RA	CM000432:119,046..123,077(-)	Uncharacterized protein	1	1	1	
cgd4_670	cgd4_670-RA	CM000432:179,439..182,255(-)	Oocyst wall protein 3	1	1	1	
cgd4_740	cgd4_740-RA	CM000432:199,497..200,304(-)	Thioredoxin peroxidase-like protein	1	2	2	
cgd4_780	cgd4_780-RA	CM000432:211,840..217,233(+)	DNA topoisomerase 2	1	1	1	
cgd4_990	cgd4_990-RA	CM000432:267,836..268,789(+)	Serine/threonine protein kinase	1	1	1	
cgd5_1640	cgd5_1640-RA	CM000433:355,319..356,248(-)	MORN repeat containing protein	1	2	2	
cgd5_1670	cgd5_1670-RA	CM000433:359,928..360,401(+)	Uncharacterized protein	1	1	1	
cgd5_1960	cgd5_1960-RA	CM000433:414,502..415,851(-)	Enolase	1	2	2	
cgd5_2050	cgd5_2050-RA	CM000433:431,533..433,845(+)	SMAD/FHA/Forkhead-associated (FHA) domain containing protein	1	1	1	
cgd5_2780	cgd5_2780-RA	CM000433:614,659..615,045(+)	Plectin/S10 domain containing protein	1	1	1	
cgd5_2800	cgd5_2800-RA	CM000433:618,234..618,641(-)	Actin depolymerizing factor	1	1	1	
cgd5_3160	cgd5_3160-RA	CM000433:735,608..736,889(-)	Actin	1	2	2	
cgd5_4010	cgd5_4010-RA	CM000433:919,570..920,811(+)	Uncharacterized protein	1	1	1	
cgd5_4240	cgd5_4240-RA	CM000433:971,574..973,958(-)	Calponin homology domain containing protein	1	1	1	
cgd6_1080	cgd6_1080-RA	CM000434:266,434..267,560(-)	Glycoprotein GP40	1	9	9	
cgd6_120	cgd6_120-RA	CM000434:31,940..33,385(+)	Disulfide-isomerase, signal peptide plus ER retention motif	1	5	5	
cgd6_200	cgd6_200-RA	CM000434:50,474..51,847(-)	Oocyst wall protein 8	1	14	14	
cgd6_2090	cgd6_2090-RA	CM000434:494,191..499,080(-)	Growth factor receptor cysteine-rich domain containing protein	1	27	27	
cgd6_2170	cgd6_2170-RA	CM000434:517,625..518,143(-)	60S ribosomal protein L5	1	1	1	
cgd6_2450	cgd6_2450-RA	CM000434:572,584..575,289(-)	Glycogen/starch/alpha-glucan phosphorylase	1	2	2	
cgd6_2460	cgd6_2460-RA	CM000434:575,712..576,191(+)	60s ribosomal protein L21	1	1	1	
cgd6_2860	cgd6_2860-RA	CM000434:661,542..663,635(+)	Uncharacterized protein	1	2	2	
cgd6_3050	cgd6_3050-RA	CM000434:703,182..707,242(+)	Uncharacterized protein	1	3	3	
