Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Found in	Score	
cgd1_1930	cgd1_1930-RA	C. parvum Iowa II	CM000429:452,503..454,030(+)	Histone-binding protein RBBP4/WD40 repeat containing protein	Product, InterPro	2	
cgd2_1670	cgd2_1670-RA	C. parvum Iowa II	CM000430:349,213..349,566(+)	ING1 ike protein with an N-terminal globular domain and a PHD domain	InterPro	1	
cgd2_1680	cgd2_1680-RA	C. parvum Iowa II	CM000430:349,761..350,836(+)	Inhibitor of growth protein N-terminal histone-binding domain containing protein	Product, InterPro	2	
cgd2_1910	cgd2_1910-RA	C. parvum Iowa II	CM000430:390,431..392,035(+)	MORN repeat	InterPro	1	
cgd3_2540	cgd3_2540-RA	C. parvum Iowa II	CM000431:650,605..651,012(-)	Histone H3	InterPro, Product	2	
cgd3_4060	cgd3_4060-RA	C. parvum Iowa II	CM000431:1,000,231..1,004,184(+)	Histone transcription regulator (HIR1)-like WD40 repeat containing protein	Product	1	
cgd3_4310	cgd3_4310-RA	C. parvum Iowa II	CM000431:1,086,170..1,088,425(-)	Sexual stage-specific protein kinase	InterPro	1	
cgd4_120	cgd4_120-RA	C. parvum Iowa II	CM000432:27,620..29,347(+)	Histone-binding protein RBBP4 N-terminal domain containing protein	Product, InterPro	2	
cgd4_1720	cgd4_1720-RA	C. parvum Iowa II	CM000432:435,732..436,985(+)	Histone-like transcription factor (CBF/NF-Y) and archaeal histone	Product, InterPro	2	
cgd4_2030	cgd4_2030-RA	C. parvum Iowa II	CM000432:492,786..493,415(-)	 Centromeric histone h3-like protein	Product, InterPro	2	
cgd4_310	cgd4_310-RA	C. parvum Iowa II	CM000432:80,208..81,236(-)	Transcriptional activator NFYC/HAP5 subunit	InterPro	1	
cgd4_3220	cgd4_3220-RA	C. parvum Iowa II	CM000432:755,495..756,899(-)	Histone H3	InterPro, Product	2	
cgd4_3360	cgd4_3360-RA	C. parvum Iowa II	CM000432:790,625..792,307(+)	Histone-binding protein RBBP4 N-terminal domain/WD40 repeat	Product, InterPro	2	
cgd4_760	cgd4_760-RA	C. parvum Iowa II	CM000432:205,052..206,001(-)	Histone chaperone ASF1-like protein	Product, GOTerms, InterPro	3	
